rank,player,position,age,team,games,games_started,mins_played,field_goal,field_goal_atmpts,field_goal_pct,three_pt,three_pt_atmpts,three_pt_pct,two_pt,two_pt_atmpts,two_pt_pct,free_throw,free_throw_atmpts,free_throw_pct,rebounds_offensive,rebounds_defensive,rebounds_total,assists,steals,blocks,turnovers,fouls,pts
484,Karl-Anthony Towns,PF,28,MIN,55,55,1803,8.8,17.1,0.515,2.5,5.7,0.434,6.3,11.4,0.555,4.6,5.3,0.875,1.6,7.6,9.3,3.2,0.8,0.7,3.1,3.6,24.7
485,Gary Trent Jr.,SG,25,TOR,52,22,1379,5.9,14,0.42,3.3,7.9,0.419,2.6,6.1,0.421,0.9,1.3,0.7,0.3,2.7,3,2.1,1.3,0.2,0.9,1.7,16
486,Oscar Tshiebwe,PF,24,IND,7,0,37,8.8,16.5,0.529,0,0,NA,8.8,16.5,0.529,4.9,5.8,0.833,5.8,7.8,13.6,1.9,1.9,0,0,1.9,22.4
487,P.J. Tucker,PF,38,TOT,16,3,253,0.9,2.7,0.316,0.7,2.3,0.313,0.1,0.4,0.333,0.4,0.4,1,2.4,4.1,6.5,1.1,1.3,0.4,0.6,5.3,2.8
488,Myles Turner,C,27,IND,53,53,1453,8.2,15.6,0.525,1.8,5.3,0.332,6.4,10.3,0.624,4.4,5.5,0.786,2,7.1,9.2,1.8,0.8,2.3,1.9,4.2,22.5
489,Hunter Tyson,PF,23,DEN,9,0,27,1.3,9.3,0.143,0,8,0,1.3,1.3,1,0,0,NA,0,8,8,1.3,0,0,2.7,8,2.7
490,Stanley Umude,SG,24,DET,17,0,190,4.7,9.9,0.481,3.2,5.9,0.548,1.5,4,0.381,4.2,4.5,0.917,0.8,5.1,5.9,1.7,0.8,0.9,2.1,5.3,16.9
491,Jonas Valančiūnas,C,31,NOP,57,57,1455,7.7,13.5,0.574,0.8,2.2,0.356,7,11.3,0.618,3.2,4,0.796,3.7,9.7,13.4,3.3,0.6,1.4,2,4.1,19.5
492,Jarred Vanderbilt,PF,24,LAL,29,6,581,3.7,7.1,0.518,0.5,1.7,0.296,3.2,5.4,0.586,1.5,2.2,0.667,2.5,6,8.6,2.2,2.2,0.3,1.7,2.7,9.3
493,Fred VanVleet,PG,29,HOU,49,49,1794,5.4,13.2,0.409,2.9,7.6,0.375,2.5,5.5,0.455,2.5,3,0.851,0.4,3.3,3.7,7.9,1.1,0.9,1.6,2.2,16.2
494,Devin Vassell,SG,23,SAS,52,46,1649,7.9,17,0.466,2.8,7.5,0.374,5.1,9.5,0.539,2.8,3.5,0.802,0.4,3.7,4.1,4.2,1.2,0.3,1.6,1.1,21.5
495,Sasha Vezenkov,PF,28,SAC,35,0,440,6.1,13.5,0.448,3.1,8.2,0.38,2.9,5.3,0.554,0.8,1.1,0.769,2.5,4.6,7,1.2,1.3,0.6,0.9,2.9,16
496,Gabe Vincent,PG,27,LAL,5,0,127,3.4,9.1,0.375,0.6,4.8,0.118,2.8,4.3,0.667,0.3,0.6,0.5,0.6,0.9,1.4,4.3,1.7,0,0.6,3.4,7.7
497,Nikola Vučević,C,33,CHI,51,49,1757,7.8,16.6,0.473,1.2,4.3,0.271,6.7,12.3,0.543,1.5,1.8,0.86,2.8,8.3,11.1,3.5,0.7,0.9,1.6,2.7,18.3
498,Dean Wade,PF,27,CLE,46,30,954,3.1,7.5,0.41,2.6,6.6,0.397,0.5,1,0.5,0.6,0.7,0.789,1.2,6,7.2,1.4,1.4,0.7,0.7,3.2,9.4
499,Franz Wagner,SF,22,ORL,48,48,1596,8.4,17.6,0.478,1.8,5.5,0.317,6.6,12,0.552,4.1,4.8,0.859,1.2,4.9,6,4.4,1.2,0.4,2.1,2.5,22.7
500,Moritz Wagner,C,26,ORL,54,1,999,8.3,14.2,0.588,1,2.9,0.333,7.4,11.2,0.654,4.4,5.5,0.799,3,5.7,8.7,2.3,0.9,0.6,2.3,4.3,22.1
501,Ish Wainright,SF,29,POR,7,0,46,4.7,14.1,0.333,4.7,12.5,0.375,0,1.6,0,1.6,1.6,1,0,7,7,0,1.6,0.8,0.8,3.1,15.7
502,Jabari Walker,SF,21,POR,51,14,1122,4.9,10.6,0.465,0.9,3.1,0.276,4,7.4,0.545,2.8,3.7,0.754,3.2,7.2,10.4,1.3,1,0.6,1.5,3.7,13.4
